ts,imei,mwra,c.android.gm,c.android.youtube,c.katana,c.dogalize,c.android.chrome,c.android.vending,c.raider,c.UCMobile.intl,c.updateassist,c.UCMobile.x86
2018-05-05 10:00:00,3590433799317661073,1.0,10.73779,7.60358,10.3055,12.72137,17.14262,63.02014,52.99201,79.18648,71.70308,82.68561
2018-05-05 10:01:00,3590433799317661784,1.0,13.88095,10.6863,8.36266,13.90403,13.28416,54.83081,41.20946,89.97421,25.11522,60.15617
2018-05-05 10:02:00,863033069630348917,0.0,9.38536,16.17278,13.2912,5.7998,15.01395,49.94955,55.12888,35.60304,32.90686,28.0778
2018-05-05 10:03:00,863033069630348339,1.0,7.29835,16.20768,9.73707,13.21535,9.59391,48.3089,65.90586,70.97902,79.61014,7.25507
2018-05-05 10:04:00,3590433799317662212,0.0,12.68999,12.72589,6.94943,9.72027,16.11904,54.5874,50.94873,98.93871,91.55704,12.11459
2018-05-05 10:05:00,3590433799317662089,0.0,12.99176,9.65605,15.29269,10.3987,12.51173,39.46274,30.66447,0.80442,64.04391,95.43739
2018-05-05 10:06:00,863033069630348552,1.0,11.79414,12.74222,10.02213,12.05077,13.89371,51.77089,48.57521,95.07428,14.60269,61.01499
2018-05-05 10:07:00,8630330696303481925,1.0,8.81652,12.14479,8.712,13.26715,11.86095,68.75125,59.36714,83.77426,33.42979,32.29542
2018-05-05 10:08:00,8630330696303482204,1.0,9.62259,14.23347,7.07644,13.28015,12.56443,75.45829,51.36138,83.00379,80.4248,90.50671
2018-05-05 10:09:00,3590433799317661669,1.0,9.93325,11.92854,9.84673,12.45888,13.17211,67.88903,57.5524,90.29559,88.88201,36.29899
2018-05-05 10:10:00,3590433799317661420,0.0,11.47519,12.32713,12.99692,10.69362,15.01595,40.09329,49.50059,84.96183,55.98773,46.42676
2018-05-05 10:11:00,359043379931766239,1.0,8.01629,15.5991,10.81474,11.1297,13.07165,24.99281,55.50234,38.02545,16.50995,57.78285
2018-05-05 10:12:00,8630330696303481362,1.0,11.22604,8.18121,11.28004,10.18437,12.24257,57.82669,62.2243,49.92616,85.00103,7.79293
2018-05-05 10:13:00,8630330696303481776,0.0,11.18297,12.5698,16.00577,7.03919,14.47194,78.05754,57.24257,7.66921,52.94806,60.48
2018-05-05 10:14:00,359043379931766205,1.0,13.42924,10.23579,9.93387,12.41303,12.06029,52.93725,52.98199,21.16248,27.84047,90.38628
2018-05-05 10:15:00,863033069630348636,0.0,11.95226,12.47669,10.13322,9.33128,12.50473,42.38343,53.35667,3.54126,53.82676,98.87235
2018-05-05 10:16:00,3590433799317661248,1.0,7.34459,16.50601,8.09063,13.17014,10.08896,57.49885,62.51597,0.00498,87.56227,88.34858
2018-05-05 10:17:00,8630330696303482113,0.0,10.54852,11.33877,13.78465,9.61686,14.66203,59.60836,44.43829,21.76176,56.53248,90.78544
2018-05-05 10:18:00,359043379931766296,1.0,11.45026,10.31661,11.03619,9.55702,12.88189,65.66126,56.70024,60.0843,0.30003,72.56979
2018-05-05 10:19:00,3590433799317662030,1.0,6.86278,14.22939,10.19503,12.59663,13.33231,31.98443,41.4729,70.21426,90.59539,96.31644
2018-05-05 10:20:00,359043379931766601,1.0,11.79144,13.65289,11.94776,8.66151,12.50555,71.21952,58.78092,23.42085,31.79183,21.64824
2018-05-05 10:21:00,3590433799317662048,1.0,11.66226,9.53146,7.80181,12.67584,13.6014,62.07664,62.82161,86.99172,30.46882,85.63043
2018-05-05 10:22:00,863033069630348362,1.0,11.15201,9.61653,10.25227,9.84838,11.04931,50.25269,61.12497,67.05986,95.94434,98.00041
2018-05-05 10:23:00,359043379931766064,0.0,13.78928,12.5562,10.22455,9.05391,14.10312,53.91634,64.17767,96.79093,83.12839,74.89252
2018-05-05 10:24:00,359043379931766536,0.0,11.62162,11.76859,11.89312,10.95516,13.08719,55.84924,56.5077,4.79551,76.9676,73.91111
2018-05-05 10:25:00,8630330696303481693,0.0,12.13683,11.16214,12.4379,8.55992,14.81498,50.95475,53.71033,77.21171,42.43977,40.79353
2018-05-05 10:26:00,359043379931766676,0.0,7.95774,13.4203,12.62057,7.43668,14.18253,46.34066,65.79028,37.16711,59.07836,69.2174
2018-05-05 10:27:00,8630330696303482170,0.0,13.7355,13.09142,12.47216,10.49818,12.75028,65.93767,45.94285,36.97087,46.01391,29.98404
2018-05-05 10:28:00,3590433799317662444,1.0,7.25684,13.33039,8.05453,14.25947,10.77037,51.07264,68.43532,44.30865,23.6313,23.13563
2018-05-05 10:29:00,863033069630348479,0.0,9.23424,14.97439,14.73293,10.37828,12.61094,44.87255,57.18812,85.94735,18.58771,76.21931
2018-05-05 10:30:00,863033069630348669,1.0,10.873,11.06165,7.17172,11.4615,10.62687,66.11899,62.47751,74.99397,75.14047,65.61129
2018-05-05 10:31:00,863033069630348578,0.0,6.57933,10.28623,14.03976,11.07729,13.38344,57.95197,71.83044,56.35586,81.26926,0.57392
2018-05-05 10:32:00,359043379931766858,0.0,13.27767,12.29532,14.87235,9.43743,12.4162,60.55062,60.62004,76.66786,41.40087,6.56974
2018-05-05 10:33:00,8630330696303481032,1.0,12.64731,9.78667,7.42814,13.24111,13.29174,32.82019,44.30935,28.49777,81.86132,48.15988
2018-05-05 10:34:00,8630330696303481776,1.0,13.14955,10.91514,9.92687,10.34114,16.398,57.82084,51.10275,27.20449,38.70232,22.52791
