latitude,longitude,store_name,code,imei,continent,city
15.58552,102.42587,Bua Yai,TH,3590433799317661925,Asia,Bangkok
52.59319,13.32127,Wittenau,DE,8630330696303482139,Europe,Berlin
35.88264,-80.08199,Thomasville,US,863033069630348537,America,New_York
42.28639,18.84,Budva,ME,863033069630348438,Europe,Podgorica
46.51872,86.00214,Hoxtolgay,CN,3590433799317661529,Asia,Urumqi
39.00622,-77.4286,Sterling,US,3590433799317662147,America,New_York
51.04962,12.1369,Zeitz,DE,3590433799317661339,Europe,Berlin
19.64745,-102.04897,Paracho de Verduzco,MX,863033069630348719,America,Mexico_City
27.92333,118.53333,Pucheng,CN,359043379931766866,Asia,Shanghai
29.22254,79.5286,Haldwani,IN,8630330696303482410,Asia,Kolkata
11.50526,77.23826,Sathyamangalam,IN,3590433799317662451,Asia,Kolkata
45.16024,-93.08883,Lino Lakes,US,3590433799317662063,America,Chicago
-27.76952,30.79165,Vryheid,ZA,863033069630348875,Africa,Johannesburg
17.94979,-94.91386,Acayucan,MX,359043379931766312,America,Mexico_City
41.84364,-87.71255,South Lawndale,US,863033069630348073,America,Chicago
20.21322,-100.88023,Salvatierra,MX,3590433799317661651,America,Mexico_City
19.32932,-98.1664,Contla,MX,359043379931766452,America,Mexico_City
-7.54972,110.71639,Ngemplak,ID,3590433799317661099,Asia,Jakarta
14.37395,100.48528,Bang Ban,TH,3590433799317662493,Asia,Bangkok
44.73941,-93.12577,Rosemount,US,3590433799317661057,America,Chicago
4.02219,101.02083,Teluk Intan,MY,3590433799317661289,Asia,Kuala_Lumpur
48.90982,2.45012,Bobigny,FR,863033069630348784,Europe,Paris
40.81,-73.9625,Morningside Heights,US,8630330696303481487,America,New_York
35.30889,139.55028,Kamakura,JP,863033069630348206,Asia,Tokyo
51.168,7.973,Finnentrop,DE,3590433799317661503,Europe,Berlin
32.9156,-117.14392,Mira Mesa,US,863033069630348792,America,Los_Angeles
55.82885,-4.21376,Rutherglen,GB,863033069630348560,Europe,London
-8.05389,-34.88111,Recife,BR,8630330696303482014,America,Recife
-6.25,38.66667,Mvomero,TZ,359043379931766494,Africa,Dar_es_Salaam
53.94313,10.30215,Bad Segeberg,DE,3590433799317661685,Europe,Berlin
39.46667,141.95,Yamada,JP,863033069630348354,Asia,Tokyo
42.8334,-80.38297,Norfolk County,CA,3590433799317661792,America,Toronto
42.06166,-1.60452,Tudela,ES,863033069630348768,Europe,Madrid
58.23583,92.48278,Lesosibirsk,RU,3590433799317661180,Asia,Krasnoyarsk
48.8222,2.12213,Le Chesnay,FR,359043379931766916,Europe,Paris
38.45598,48.87498,Astara,AZ,3590433799317662220,Asia,Baku
56.11281,69.49015,Ishim,RU,3590433799317661602,Asia,Yekaterinburg
43.96222,43.63417,Novopavlovsk,RU,359043379931766528,Europe,Moscow
45.99194,29.41824,Artsyz,UA,863033069630348826,Europe,Kyiv
45.35,126.28333,Shuangcheng,CN,8630330696303482196,Asia,Shanghai
21.28306,-89.66123,Progreso,MX,359043379931766288,America,Merida
33.76446,-117.79394,North Tustin,US,3590433799317661610,America,Los_Angeles
58.63667,59.80222,Lesnoy,RU,3590433799317661867,Asia,Yekaterinburg
9.89206,43.38531,Baki,SO,8630330696303482220,Africa,Mogadishu
-4.16694,-40.7475,Guaraciaba do Norte,BR,3590433799317661826,America,Fortaleza
41.92361,20.91361,Bogovinje,MK,359043379931766239,Europe,Skopje
48.77275,5.16108,Bar-le-Duc,FR,359043379931766155,Europe,Paris
38.45598,48.87498,Astara,AZ,359043379931766791,Asia,Baku
19.32889,-99.32556,San Lorenzo Acopilco,MX,3590433799317661529,America,Mexico_City
31.96258,73.97117,Naushahra Virkan,PK,3590433799317661743,Asia,Karachi
-38.65333,178.00417,Gisborne,NZ,863033069630348123,Pacific,Auckland
44.98901,38.94324,Yablonovskiy,RU,863033069630348685,Europe,Moscow
41.82143,41.77921,Kobuleti,GE,863033069630348149,Asia,Tbilisi
23.1959,86.51499,Kenda,IN,8630330696303481891,Asia,Kolkata
37.95143,-91.77127,Rolla,US,359043379931766486,America,Chicago
52.68333,0.93333,East Dereham,GB,8630330696303481818,Europe,London
36.82167,128.63083,Eisen,KR,863033069630348321,Asia,Seoul
53.94313,10.30215,Bad Segeberg,DE,3590433799317662154,Europe,Berlin
39.33427,-76.43941,Middle River,US,359043379931766759,America,New_York
22.19303,88.18466,Diamond Harbour,IN,8630330696303482188,Asia,Kolkata
-31.25033,-61.4867,Rafaela,AR,3590433799317661875,America,Cordoba
27.76056,-15.58602,Maspalomas,ES,863033069630348206,Atlantic,Canary
45.79377,8.88104,Malnate,IT,863033069630348032,Europe,Rome
4.2475,9.00472,Idenao,CM,8630330696303482030,Africa,Douala
14.66,120.56528,Pilar,PH,359043379931766999,Asia,Manila
50.82709,6.9747,Wesseling,DE,3590433799317661917,Europe,Berlin
6.15038,6.83042,Nkpor,NG,3590433799317661701,Africa,Lagos
-10.95817,-38.79084,Tucano,BR,8630330696303481958,America,Bahia
36.64852,51.49621,Nowshahr,IR,8630330696303481271,Asia,Tehran
-0.35817,42.54536,Kismayo,SO,3590433799317661859,Africa,Mogadishu
3.7278,98.6738,Labuhan Deli,ID,8630330696303482089,Asia,Jakarta
5.84752,-5.682,Lakota,CI,863033069630348735,Africa,Abidjan
-21.44236,27.46153,Tonota,BW,359043379931766619,Africa,Gaborone
43.61058,1.33467,Colomiers,FR,863033069630348438,Europe,Paris
-7.51611,109.05389,Wangon,ID,8630330696303481222,Asia,Jakarta
4.96667,10.7,Tonga,CM,3590433799317661735,Africa,Douala
-33.75881,150.99292,Baulkham Hills,AU,359043379931766239,Australia,Sydney
56.85836,35.90057,Tver,RU,8630330696303481826,Europe,Moscow
48.15659,28.28489,Soroca,MD,8630330696303482014,Europe,Chisinau
3.02013,30.91105,Arua,UG,3590433799317661057,Africa,Kampala
53.77166,38.12408,Bogoroditsk,RU,863033069630348040,Europe,Moscow
41.72059,-87.70172,Evergreen Park,US,863033069630348362,America,Chicago
52.68333,0.93333,East Dereham,GB,3590433799317661818,Europe,London
3.27833,32.88667,Kitgum,UG,8630330696303482147,Africa,Kampala
60.02427,30.28491,Kolomyagi,RU,8630330696303481693,Europe,Moscow
50.82709,6.9747,Wesseling,DE,863033069630348750,Europe,Berlin
51.40148,-1.32471,Newbury,GB,8630330696303481693,Europe,London
23.18,88.58,Aistala,IN,8630330696303482360,Asia,Kolkata
25.95533,68.88871,Jhol,PK,8630330696303481420,Asia,Karachi
-1.26753,116.82887,Balikpapan,ID,359043379931766585,Asia,Makassar
35.48199,137.02166,Minokamo,JP,8630330696303481487,Asia,Tokyo
-26.22861,-52.67056,Pato Branco,BR,8630330696303481925,America,Sao_Paulo
20.22816,-103.5687,Zacoalco de Torres,MX,3590433799317661776,America,Mexico_City
43.31667,-2.68333,Gernika-Lumo,ES,8630330696303482287,Europe,Madrid
50.80904,8.77069,Marburg an der Lahn,DE,8630330696303481966,Europe,Berlin
33.41012,-91.06177,Greenville,US,3590433799317661727,America,Chicago
0.03813,36.36339,Nyahururu,KE,359043379931766882,Africa,Nairobi
9.91861,-68.30472,Tinaquillo,VE,3590433799317662246,America,Caracas
41.75338,-86.11084,Granger,US,863033069630348495,America,Indianapolis
44.98901,38.94324,Yablonovskiy,RU,3590433799317661941,Europe,Moscow
14.95472,120.89694,Baliuag,PH,359043379931766197,Asia,Manila
64.5635,39.8302,Severodvinsk,RU,863033069630348354,Europe,Moscow
55.75556,60.70278,Ozersk,RU,3590433799317661701,Asia,Yekaterinburg
16.68911,98.50893,Myawadi,MM,863033069630348487,Asia,Yangon
42.06166,-1.60452,Tudela,ES,359043379931766676,Europe,Madrid
38.96372,-76.99081,Chillum,US,3590433799317661214,America,New_York
14.8361,120.97844,Guyong,PH,359043379931766379,Asia,Manila
65.84811,24.14662,Tornio,FI,8630330696303482303,Europe,Helsinki
3.7278,98.6738,Labuhan Deli,ID,8630330696303481305,Asia,Jakarta
4.92675,6.26764,Yenagoa,NG,359043379931766460,Africa,Lagos
9.15093,-79.62098,Chilibre,PA,863033069630348529,America,Panama
-25.42778,-49.27306,Curitiba,BR,359043379931766023,America,Sao_Paulo
46.18396,6.10237,Onex,CH,863033069630348438,Europe,Zurich
48.8222,2.12213,Le Chesnay,FR,8630330696303481255,Europe,Paris
68.79833,16.54165,Harstad,NO,3590433799317661313,Europe,Oslo
36.53333,136.61667,Nonoichi,JP,3590433799317661123,Asia,Tokyo
46.08333,122.08333,Ulanhot,CN,3590433799317661792,Asia,Shanghai
25.80565,68.49143,Bhit Shah,PK,3590433799317662238,Asia,Karachi
14.62072,74.83554,Sirsi,IN,863033069630348560,Asia,Kolkata
44.97639,19.61222,Sremska Mitrovica,RS,863033069630348016,Europe,Belgrade
-7.51611,109.05389,Wangon,ID,359043379931766478,Asia,Jakarta
52.71083,5.74861,Emmeloord,NL,863033069630348685,Europe,Amsterdam
-44.39672,171.25364,Timaru,NZ,3590433799317661545,Pacific,Auckland
-3.14306,-58.44417,Itacoatiara,BR,3590433799317662261,America,Manaus
41.55947,14.66737,Campobasso,IT,8630330696303481982,Europe,Rome
44.43579,26.01649,Sector 6,RO,863033069630348057,Europe,Bucharest
-37.32167,-59.13316,Tandil,AR,8630330696303481032,America,Buenos_Aires
-16.25,-69.08333,Yunguyo,PE,8630330696303481214,America,Lima
42.67164,14.01481,Roseto degli Abruzzi,IT,3590433799317661941,Europe,Rome
49.03685,8.70745,Bretten,DE,3590433799317661511,Europe,Berlin
14.8361,120.97844,Guyong,PH,3590433799317661248,Asia,Manila
40.66482,122.22833,Yingkou,CN,359043379931766593,Asia,Shanghai
-37.9,145.18333,Wheelers Hill,AU,8630330696303481313,Australia,Melbourne
46.18396,6.10237,Onex,CH,359043379931766205,Europe,Zurich
35.8,137.23333,Gero,JP,8630330696303482220,Asia,Tokyo
-22.45667,-47.53028,Santa Gertrudes,BR,8630330696303482006,America,Sao_Paulo
41.1053,-7.32097,Custoias,PT,8630330696303481677,Europe,Lisbon
40.65995,-111.99633,Kearns,US,863033069630348834,America,Denver
36.53333,136.61667,Nonoichi,JP,3590433799317662089,Asia,Tokyo
25.67927,-80.31727,Kendall,US,3590433799317662360,America,New_York
42.50729,1.53414,les Escaldes,AD,3590433799317662295,Europe,Andorra
-27.76952,30.79165,Vryheid,ZA,359043379931766049,Africa,Johannesburg
48.15659,28.28489,Soroca,MD,359043379931766692,Europe,Chisinau
12.74409,-8.07257,Kati,ML,8630330696303482428,Africa,Bamako
41.09246,45.36561,Qazax,AZ,3590433799317661883,Asia,Baku
37.1759,128.9889,T‚Äôaebaek,KR,3590433799317662022,Asia,Seoul
48.15659,28.28489,Soroca,MD,863033069630348610,Europe,Chisinau
50.23019,8.77155,Karben,DE,359043379931766809,Europe,Berlin
41.80753,-87.65644,New City,US,8630330696303482089,America,Chicago
48.25,16.4,Floridsdorf,AT,3590433799317661818,Europe,Vienna
40.37528,28.88222,Mudanya,TR,8630330696303481214,Europe,Istanbul
-4.24444,-42.29444,Barras,BR,3590433799317661172,America,Fortaleza
52.47774,10.5511,Gifhorn,DE,8630330696303481917,Europe,Berlin
48.8765,2.18967,Rueil-Malmaison,FR,863033069630348891,Europe,Paris
20.14298,-77.43532,Media Luna,CU,3590433799317662386,America,Havana
39.46667,141.95,Yamada,JP,8630330696303482089,Asia,Tokyo
51.19139,6.51352,Korschenbroich,DE,8630330696303482162,Europe,Berlin
28.88162,120.03308,Guli,CN,863033069630348537,Asia,Shanghai
20.22816,-103.5687,Zacoalco de Torres,MX,863033069630348404,America,Mexico_City
-33.59217,-70.6996,San Bernardo,CL,3590433799317661222,America,Santiago
-7.60361,37.00438,Kidodi,TZ,3590433799317662279,Africa,Dar_es_Salaam
43.67681,4.63031,Arles,FR,3590433799317661859,Europe,Paris
45.53069,9.40531,Gorgonzola,IT,863033069630348008,Europe,Rome
41.8542,-87.66561,Lower West Side,US,3590433799317661776,America,Chicago
47.56494,31.33078,Voznesensk,UA,3590433799317661461,Europe,Kyiv
40.93121,-73.89875,Yonkers,US,8630330696303482394,America,New_York
14.62072,74.83554,Sirsi,IN,3590433799317661834,Asia,Kolkata
-33.38056,-56.52361,Durazno,UY,863033069630348693,America,Montevideo
49.73843,13.373637,Plzeň,CZ,3590433799317662394,Europe,Prague
53.59782,34.33825,Dyat‚Äôkovo,RU,3590433799317661966,Europe,Moscow
13.48082,-86.58208,Somoto,NI,3590433799317661263,America,Managua
45.49428,-122.86705,Aloha,US,359043379931766148,America,Los_Angeles
65.84811,24.14662,Tornio,FI,3590433799317661560,Europe,Helsinki
44.89784,8.86374,Tortona,IT,863033069630348974,Europe,Rome
41.8542,-87.66561,Lower West Side,US,3590433799317661651,America,Chicago
15.48131,-86.57415,Olanchito,HN,3590433799317661768,America,Tegucigalpa
-0.71667,-48.52333,Soure,BR,8630330696303481263,America,Belem
54.8421,46.5813,Alatyr‚Äô,RU,3590433799317661958,Europe,Moscow
41.57721,-93.71133,West Des Moines,US,359043379931766338,America,Chicago
48.73218,11.18709,Neuburg an der Donau,DE,359043379931766882,Europe,Berlin
-34.64966,-58.38341,Barracas,AR,359043379931766882,America,Buenos_Aires
14.8361,120.97844,Guyong,PH,863033069630348636,Asia,Manila
50.26729,-119.27337,Vernon,CA,3590433799317661206,America,Vancouver
29.21399,78.95693,Kashipur,IN,3590433799317662139,Asia,Kolkata
60.02427,30.28491,Kolomyagi,RU,3590433799317661008,Europe,Moscow
51.82721,107.60627,Ulan-Ude,RU,8630330696303481891,Asia,Irkutsk
42.22718,14.39024,Lanciano,IT,863033069630348982,Europe,Rome
57.97472,33.2525,Valday,RU,3590433799317662360,Europe,Moscow
23.29549,113.82465,Licheng,CN,3590433799317662246,Asia,Shanghai
21.01858,-101.2591,Guanajuato,MX,3590433799317661636,America,Mexico_City
33.14447,47.3799,Darreh Shahr,IR,863033069630348016,Asia,Tehran
37.13548,-3.67029,Las Gabias,ES,359043379931766270,Europe,Madrid
44.75874,19.21437,Bijeljina,BA,8630330696303481446,Europe,Sarajevo
37.05944,37.3825,Gaziantep,TR,359043379931766700,Europe,Istanbul
-7.81667,112.01667,Kediri,ID,359043379931766254,Asia,Jakarta
50.23805,8.86704,Nidderau,DE,8630330696303481131,Europe,Berlin
8.48714,-13.2356,Freetown,SL,863033069630348784,Africa,Freetown
49.593777,17.250879,Olomouc,CZ,8630330696303482311,Europe,Prague
51.19139,6.51352,Korschenbroich,DE,8630330696303481206,Europe,Berlin
47.90771,106.88324,Ulan Bator,MN,863033069630348875,Asia,Ulaanbaatar
55.39485,43.83992,Arzamas,RU,8630330696303481685,Europe,Moscow
-22.92306,-53.13722,Loanda,BR,863033069630348255,America,Sao_Paulo
12.74409,-8.07257,Kati,ML,3590433799317662428,Africa,Bamako
-25.54073,152.70493,Maryborough,AU,8630330696303481271,Australia,Brisbane
-2.90055,-79.00453,Cuenca,EC,8630330696303481867,America,Guayaquil
-20.25333,-43.80139,Itabirito,BR,359043379931766403,America,Sao_Paulo
38.06084,-97.92977,Hutchinson,US,359043379931766155,America,Chicago
45.43341,-73.86586,Beaconsfield,CA,3590433799317661495,America,Toronto
36.81667,117.81667,Zhoucun,CN,359043379931766916,Asia,Shanghai
43.82634,144.09638,Motomachi,JP,8630330696303482113,Asia,Tokyo
48.77275,5.16108,Bar-le-Duc,FR,359043379931766197,Europe,Paris
51.88333,8.51667,Verl,DE,3590433799317661438,Europe,Berlin
55.75556,60.70278,Ozersk,RU,8630330696303481206,Asia,Yekaterinburg
-14.66463,-52.35558,Nova Xavantina,BR,359043379931766056,America,Cuiaba
16.0567,103.65309,Roi Et,TH,359043379931766023,Asia,Bangkok
51.14942,15.00835,Zgorzelec,PL,863033069630348727,Europe,Warsaw
13.8196,100.04427,Nakhon Pathom,TH,3590433799317661685,Asia,Bangkok
35.89972,14.51472,Valletta,MT,8630330696303481792,Europe,Malta
43.41949,77.0202,Otegen Batyra,KZ,3590433799317661446,Asia,Almaty
38.96372,-76.99081,Chillum,US,863033069630348909,America,New_York
14.95472,120.89694,Baliuag,PH,8630330696303481255,Asia,Manila
14.62072,74.83554,Sirsi,IN,863033069630348511,Asia,Kolkata
39.96097,-75.60804,West Chester,US,3590433799317662436,America,New_York
29.21399,78.95693,Kashipur,IN,863033069630348636,Asia,Kolkata
52.41667,0.75,Thetford,GB,8630330696303482436,Europe,London
12.74482,4.52514,Argungu,NG,3590433799317662014,Africa,Lagos
34.65918,109.22921,Yanliang,CN,3590433799317661149,Asia,Shanghai
52.2,8.63333,Kirchlengern,DE,3590433799317662444,Europe,Berlin
53.53333,-7.35,An Muileann gCearr,IE,8630330696303481560,Europe,Dublin
40.82232,-74.15987,Nutley,US,863033069630348966,America,New_York
34.63915,-120.45794,Lompoc,US,359043379931766601,America,Los_Angeles
38.17492,-122.2608,American Canyon,US,863033069630348305,America,Los_Angeles
51.40944,46.04833,Privolzhskiy,RU,359043379931766270,Europe,Saratov
11.93381,79.82979,Puducherry,IN,3590433799317662188,Asia,Kolkata
33.7207,-116.21677,Indio,US,8630330696303481230,America,Los_Angeles
53.51684,-113.3187,Sherwood Park,CA,3590433799317662337,America,Edmonton
43.1009,-75.23266,Utica,US,863033069630348610,America,New_York
50.06,43.2379,Mikhaylovka,RU,359043379931766320,Europe,Volgograd
20.88953,-156.47432,Kahului,US,8630330696303481529,Pacific,Honolulu
45.99194,29.41824,Artsyz,UA,3590433799317661040,Europe,Kyiv
48.73218,11.18709,Neuburg an der Donau,DE,3590433799317661974,Europe,Berlin
6.03333,37.55,Arba Minch,ET,863033069630348677,Africa,Addis_Ababa
16.0438,120.4861,Manaoag,PH,863033069630348693,Asia,Manila
14.64056,104.64992,Kantharalak,TH,3590433799317662451,Asia,Bangkok
26.91756,-82.07842,Punta Gorda Isles,US,3590433799317661461,America,New_York
14.93333,-91.11667,Chichicastenango,GT,8630330696303481230,America,Guatemala
45.9836,12.70038,Cordenons,IT,3590433799317661958,Europe,Rome
31.71667,73.38333,Sangla Hill,PK,8630330696303481941,Asia,Karachi
13.70167,-89.10944,Ilopango,SV,863033069630348016,America,El_Salvador
51.168,7.973,Finnentrop,DE,3590433799317661131,Europe,Berlin
53.43333,-7.95,Athlone,IE,8630330696303481750,Europe,Dublin
-8.73508,24.99798,Kamina,CD,863033069630348032,Africa,Lubumbashi
40.87329,14.43865,Somma Vesuviana,IT,3590433799317661321,Europe,Rome
-3.20333,-52.20639,Altamira,BR,359043379931766668,America,Santarem
34.25807,-88.70464,Tupelo,US,3590433799317662105,America,Chicago
-38.65333,178.00417,Gisborne,NZ,8630330696303481867,Pacific,Auckland
28.71271,77.656,Pilkhua,IN,359043379931766338,Asia,Kolkata
39.43534,-84.20299,Lebanon,US,359043379931766783,America,New_York
29.22254,79.5286,Haldwani,IN,8630330696303481156,Asia,Kolkata
30.46907,70.96699,Kot Addu,PK,8630330696303481016,Asia,Karachi
43.41949,77.0202,Otegen Batyra,KZ,8630330696303481537,Asia,Almaty
40.60538,-73.75513,Far Rockaway,US,3590433799317662444,America,New_York
6.46346,-2.31938,Bibiani,GH,8630330696303481099,Africa,Accra
-27.4338,-65.61427,Aguilares,AR,359043379931766189,America,Tucuman
8.88649,2.59753,Tchaourou,BJ,359043379931766031,Africa,Porto-Novo
14.0823,98.19151,Dawei,MM,863033069630348685,Asia,Yangon
13.48082,-86.58208,Somoto,NI,359043379931766718,America,Managua
19.32889,-99.32556,San Lorenzo Acopilco,MX,863033069630348560,America,Mexico_City
8.43333,99.96667,Nakhon Si Thammarat,TH,8630330696303481156,Asia,Bangkok
39.00622,-77.4286,Sterling,US,863033069630348701,America,New_York
40.67705,-73.89125,Cypress Hills,US,8630330696303481677,America,New_York
33.76446,-117.79394,North Tustin,US,3590433799317662451,America,Los_Angeles
47.76232,-122.2054,Bothell,US,8630330696303481560,America,Los_Angeles
50.09019,8.4493,Hofheim am Taunus,DE,3590433799317661842,Europe,Berlin
41.84364,-87.71255,South Lawndale,US,359043379931766700,America,Chicago
43.61062,-72.97261,Rutland,US,8630330696303481446,America,New_York
-6.25,38.66667,Mvomero,TZ,863033069630348529,Africa,Dar_es_Salaam
26.67319,31.4976,Juhaynah,EG,8630330696303482048,Africa,Cairo
-19.7625,-44.31389,Esmeraldas,BR,3590433799317661792,America,Sao_Paulo
34.61667,135.6,Yao,JP,3590433799317661669,Asia,Tokyo
41.85059,-87.882,Westchester,US,359043379931766429,America,Chicago
50.50301,13.63617,Most,CZ,8630330696303481933,Europe,Prague
48.43174,17.8031,Hlohovec,SK,8630330696303481453,Europe,Bratislava
45.78071,12.84052,Portogruaro,IT,8630330696303481388,Europe,Rome
32.35126,-95.30106,Tyler,US,863033069630348867,America,Chicago
17.54907,82.85749,Elamanchili,IN,3590433799317661107,Asia,Kolkata
36.64852,51.49621,Nowshahr,IR,3590433799317662444,Asia,Tehran
51.42708,-0.91979,Lower Earley,GB,3590433799317661040,Europe,London
33.86419,48.26258,Aleshtar,IR,3590433799317661271,Asia,Tehran
14.93333,-91.11667,Chichicastenango,GT,863033069630348644,America,Guatemala
28.71271,77.656,Pilkhua,IN,8630330696303482139,Asia,Kolkata
-22.45667,-47.53028,Santa Gertrudes,BR,3590433799317662139,America,Sao_Paulo
41.50343,-74.01042,Newburgh,US,8630330696303481198,America,New_York
