ts	imei	mwra	p.android.chrome	p.system	p.android.externalstorage	p.android.packageinstaller	p.android.documentsui	p.android.gm	p.android.settings	p.inputmethod.latin	p.notifier	p.katana	p.dogalize	p.android.defcontainer	p.google	p.android.gms	p.olauncher	p.android.vending	p.browser.provider	p.process.gapps	p.gms.persistent	p.simulator
2018-05-05 10:00:00	3590433799317661073	1.00000	13.85861	7.64793	7.27894	9.57361	8.33502	9.63344	14.10782	55.88874	0.00013	58.12204	49.63998	52.22598	86.79731	88.93302	12.84506	2.63115	90.52801	90.51873	35.23943	93.56427
2018-05-05 10:01:00	3590433799317661784	1.00000	15.41892	14.08046	6.67208	9.29380	9.44110	7.40963	14.00144	60.45708	0.04671	43.65614	50.35593	45.19193	87.84568	25.99896	90.22100	71.68478	89.94562	71.77292	64.49298	42.81274
2018-05-05 10:02:00	863033069630348917	0.00000	9.02474	10.64196	12.71551	14.92095	10.43897	10.23411	12.33791	65.77856	0.00152	42.01218	51.05029	29.87061	59.48429	45.04187	1.58945	13.22444	88.76900	64.93572	45.52142	44.37595
2018-05-05 10:03:00	863033069630348339	1.00000	7.73562	16.25267	8.75428	10.09556	10.68004	7.78818	11.13198	45.94830	0.40968	63.60143	61.63920	86.63658	18.00165	20.65816	22.51564	28.59876	62.69179	34.25119	4.52876	72.11141
2018-05-05 10:04:00	3590433799317662212	0.00000	7.46264	12.82177	10.80300	4.85724	12.01441	9.38242	17.40947	53.08073	0.01331	34.19722	36.14104	41.29170	72.44112	93.65874	50.08215	38.17231	6.71236	72.23466	68.04155	33.38015
2018-05-05 10:05:00	3590433799317662089	0.00000	8.10632	13.70303	12.95743	13.28827	9.26873	12.64894	6.80591	49.11622	0.03206	45.80075	48.60392	87.32552	59.15043	62.04534	75.64869	4.51152	0.98024	81.73171	23.89307	14.14834
2018-05-05 10:06:00	863033069630348552	1.00000	7.56889	14.38550	12.13665	11.00580	9.73338	7.80302	12.31585	49.14001	0.06335	59.45799	48.46851	29.00829	28.58623	86.68517	9.49859	48.85382	63.61849	12.79003	94.08635	43.47113
2018-05-05 10:07:00	8630330696303481925	1.00000	8.47662	12.47748	12.19081	8.59693	12.79582	9.98293	13.42800	44.67323	0.00948	43.99837	56.40727	95.00967	14.71936	73.81036	80.19382	47.06788	69.95997	8.18354	31.40807	15.22640
2018-05-05 10:08:00	8630330696303482204	1.00000	7.40371	13.70657	13.48815	8.04270	12.45431	8.14711	14.64066	70.50651	0.03215	48.04220	48.01488	58.59695	22.39255	36.39143	0.58749	40.95247	57.91894	97.39154	1.13396	23.35486
2018-05-05 10:09:00	3590433799317661669	1.00000	10.65082	11.86902	13.25740	9.56314	13.80897	10.51048	13.22115	43.40525	0.00519	43.71265	58.39881	65.31695	34.69885	84.58720	41.58930	78.39567	69.73297	15.35551	16.26502	14.02912
